SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
HRV.1.0.0.0.UTVG,HRV,1,0,0,0,UTVG,Croatia,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-HRK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0929,3.335,3.6956,4.3935,4.3962,4.8188,5.0632,5.602,6.0273,6.2787,6.6895,7.3593,7.9328,8.5409,7.7698,7.9175,7.8855,8.2206,8.4555,8.399,8.923,9.3109,9.829,10.5513,11.174,9.7442,11.4109,12.9709,15.043,16.4727,17.61075,18.58527,,,,,,,
ITA.1.0.0.0.UTVG,ITA,1,0,0,0,UTVG,Italy,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-ITL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.728,120.769,131.211,168.553,170.78,178.425,182.701,190.078,190.737,199.155,208.059,224.967,232.258,222.498,214.317,225.694,233.151,247.794,242.256,252.293,250.287,245.147,250.821,256.209,261.488,231.18,262.1,279.848,291.446,309.128,315.2939,322.3831,,,,,,,
CYP.1.0.0.0.UTVG,CYP,1,0,0,0,UTVG,Cyprus,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-CYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875,0.8856,0.8626,0.9728,1.0055,1.259,1.4044,1.4773,1.8791,2.1136,2.2678,2.5393,3.0301,3.1593,2.687,2.8082,2.7422,2.7582,2.5273,2.6529,2.6959,2.8286,3.0401,3.278,3.3989,2.9459,3.4525,4.0567,4.452,4.6897,4.989581,5.309467,,,,,,,
LVA.1.0.0.0.UTVG,LVA,1,0,0,0,UTVG,Latvia,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-LVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52758,0.58509,0.72269,0.85529,0.8381,0.8459,0.88977,0.94095,1.13304,1.28996,1.67421,2.15368,2.71001,2.64953,2.12576,2.21217,2.50909,2.79145,2.99181,3.19684,3.36052,3.61689,3.81712,4.22291,4.3884,4.28559,4.638,5.36254,5.57682,5.85027,6.139522,6.508159,,,,,,,
LTU.1.0.0.0.UTVG,LTU,1,0,0,0,UTVG,Lithuania,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-LTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9341,1.1237,1.5856,1.795,1.7436,1.6726,1.7293,1.8834,1.9407,2.0387,2.3546,2.7235,3.3773,3.7907,3.1144,3.3365,3.6468,3.7491,3.8783,4.1242,4.3838,4.5877,4.9425,5.281,5.7327,5.9815,6.8208,7.8433,8.2893,9.1016,9.93173,10.6081,,,,,,,
LUX.1.0.0.0.UTVG,LUX,1,0,0,0,UTVG,Luxembourg,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-LUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75855,1.83822,2.06343,2.2574,2.62132,3.04413,3.0283,3.08232,3.23235,3.68149,4.02445,4.25556,4.84589,4.74038,4.63136,4.97315,5.327,5.69384,6.00504,6.55797,5.7691,6.04763,6.48206,7.04093,7.34417,7.31052,8.5203,9.0202,8.9727,9.9504,10.36886,10.85964,,,,,,,
HUN.1.0.0.0.UTVG,HUN,1,0,0,0,UTVG,Hungary,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd HUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011.45,1193.43,1350.32,1613.73,1887.91,2200.46,2366.88,2595.86,2973.43,3361.8,3456.7,3622.38,4028.97,4216.39,4314.73,4725.74,4903.24,5366.13,5629.25,6048.02,6508.27,6527.67,7011.05,7829.49,8526.82,8723.82,9691.96,11964.97,13148.49,13921.51,14807.21,15382.7,,,,,,,
MLT.1.0.0.0.UTVG,MLT,1,0,0,0,UTVG,Malta,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-MTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3684,0.3646,0.4054,0.393,0.4549,0.4957,0.5348,0.5536,0.5828,0.642,0.7258,0.7656,0.8119,0.8427,0.8189,0.9026,0.9229,0.9409,0.9879,1.1083,1.177,1.2614,1.4019,1.5693,1.6143,1.3931,1.5682,1.7781,1.939,2.11,2.232872,2.374475,,,,,,,
NLD.1.0.0.0.UTVG,NLD,1,0,0,0,UTVG,Netherlands,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-NLG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.343,36.825,39.442,42.415,47.381,50.228,56.641,58.432,60.002,62.566,65.808,70.359,72.54,75.669,71.63,72.91,72.544,71.293,74.309,78.281,78.938,84.323,87.829,93.145,99.891,101.843,110.269,114.003,118.832,125.593,131.3022,139.8579,,,,,,,
AUT.1.0.0.0.UTVG,AUT,1,0,0,0,UTVG,Austria,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-ATS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.76789,27.23502,28.65487,29.61609,30.96523,31.56393,32.47083,33.65883,34.12024,35.22389,36.14542,37.04236,39.10367,40.71724,41.19677,42.47433,44.69052,46.73016,47.40758,48.41911,50.03858,52.02852,52.86843,54.04822,55.72891,52.39311,57.21465,61.5899,65.41731,67.51786,72.92479,75.62914,,,,,,,
POL.1.0.0.0.UTVG,POL,1,0,0,0,UTVG,Poland,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd PLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.938,62.141,72.898,80.662,92.482,96.555,101.453,110.312,114.908,125.754,136.6816,151.04,171.177,186.607,178.151,198.69,216.415,211.623,211.907,221.4869,232.7778,249.499,274.217,297.993,316.248,326.153,399.458,420.62,482.639,528.404,562.3827,605.8038,,,,,,,
PRT.1.0.0.0.UTVG,PRT,1,0,0,0,UTVG,Portugal,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-PTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.712,12.6533,13.422,15.1531,16.6537,17.2332,18.2028,19.8407,20.2799,21.0868,23.1269,24.7048,25.3544,25.0788,22.0196,23.8363,24.4254,23.3451,23.4027,24.7222,26.2074,27.5638,29.1861,30.8712,32.2408,29.2756,32.4646,36.5123,38.7122,41.5068,43.88508,45.93646,,,,,,,
ROM.1.0.0.0.UTVG,ROM,1,0,0,0,UTVG,Romania,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd RON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7087,0.9998,2.3147,4.2083,6.7252,9.6428,13.324,17.6642,24.2138,29.0296,37.2484,44.1542,51.5612,60.7027,54.2867,62.689,73.06,78.004,80.9317,85.1998,94.6251,86.6399,88.3551,99.2301,111.5529,109.9504,126.8034,152.5253,175.8501,193.2916,210.3931,226.2398,,,,,,,
SVN.1.0.0.0.UTVG,SVN,1,0,0,0,UTVG,Slovenia,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-SIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5924,1.86161,2.06614,2.38879,2.77972,2.90769,3.20462,3.65429,4.01177,4.265,4.48512,4.67544,5.06173,5.27825,4.94578,5.19457,5.26423,5.26684,5.5374,5.71318,5.91531,6.06359,6.34027,6.64834,6.91507,6.14538,7.09925,7.65841,8.25274,8.66193,9.133722,9.540172,,,,,,,
SVK.1.0.0.0.UTVG,SVK,1,0,0,0,UTVG,Slovakia,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-SKK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83294,3.01554,3.2042,3.43583,3.54972,4.0014,3.92989,4.33657,5.01582,5.68326,6.35188,6.34549,7.02774,7.1861,6.73487,7.03784,7.96728,7.78802,8.34842,8.74538,9.22959,9.2826,10.03048,10.59375,11.38276,11.2528,12.05653,12.9568,14.75288,14.97271,17.26193,17.96642,,,,,,,
FIN.1.0.0.0.UTVG,FIN,1,0,0,0,UTVG,Finland,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EURO-FIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.177,2.486,2.962,3.337,3.812,4.362,5.042,5.647,6.296,7.428,8.174,8.998,9.859,11.998,13.245,13.399,12.862,12.296,12.161,12.882,13.418,14.003,15.835,16.826,17.622,18.285,18.615,19.608,20.693,20.987,21.886,22.84,23.625,24.061,23.378,25.395,28.379,29.405,30.669,31.068,31.273,32.754,33.338,34.834,35.504,35.061,36.649,38.426,37.572,38.437,40.2651,42.35383,,,,,,,
SWE.1.0.0.0.UTVG,SWE,1,0,0,0,UTVG,Sweden,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd SEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.872,379.292,403.653,430.589,442.295,515.345,539.067,538.815,563.505,590.263,611.099,628.1,656.447,685.202,726.628,760.065,748.2,785.795,804.851,818.01,835.104,859.887,915.061,987.538,1029.807,1076.139,1104.368,1079.962,1172.559,1274.879,1322.496,1334.688,1371.01,1418.886,,,,,,,
GBR.1.0.0.0.UTVG,GBR,1,0,0,0,UTVG,United Kingdom,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd GBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.518,64.378,68.158,72.596,80.577,84.336,86.17,92.068,99.028,103.925,110.43,117.32,126.846,134.801,137.583,144.07,151.116,159.058,162.787,172.01,181.186,179.273,168.435,193.776,209.775,216.142,226.502,237.863,245.48,256.352,269.022,277.978,286.535,251.576,283.959,324.916,337.229,344.423,358.1999,372.5279,,,,,,,
ALB.1.0.0.0.UTVG,ALB,1,0,0,0,UTVG,Albania,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.4033,130.9243,146.6797,169.8233,173.0538,186.039,195.109,193.9584,190.7377,210.138,210,224.953,242.9124,188.4504,179.1533,174.8751,213.1732,244.9594,250.716,277.4362,315.2436,336.4893,,,,,,,
MNE.1.0.0.0.UTVG,MNE,1,0,0,0,UTVG,Montenegro,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64354,0.7242,0.5524,0.7202,0.9482,1.1115,1.283,1.380064,1.472895,,,,,,,
MKD.1.0.0.0.UTVG,MKD,1,0,0,0,UTVG,North Macedonia,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd MKD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.6,95.4,86,92.8,100.2,108.1,123.1,131.6023,144.4103,,,,,,,
SRB.1.0.0.0.UTVG,SRB,1,0,0,0,UTVG,Serbia,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd RSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830.304,870.422,943.452,953.172,1096.867,1229.885,1326.861,1494.838,1543.12,1692.585,,,,,,,
TUR.1.0.0.0.UTVG,TUR,1,0,0,0,UTVG,Türkiye,01 Revenue (ESA 2010),Taxes linked to imports and production (indirect taxes): general government :- ESA 2010 ,Mrd TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.93,153.26,183.08,200.84,242.92,256.44,300.36,333.5,383.56,420.21,466.52,604.82,822.24,1660.52,3208.96,5233.22,7894.06,10849.26,,,,,,,
